component 0, component 0, connection 3, turn 2, track 0, turn 0, connection 1, component 0, connection 3, bridge 1, connection 1, component 0, connection 3, dskew 0, dskew 0, connection 1, component 0, connection 3, track 1, track 1, skew 2, skew 0, dskew 0, track 1, skew 2, track 0, vias 3, skew 2, skew 0, connection 1, component 0, connection 3, dskew 1, connection 1, 
component 0, component 0, connection 3, skew 1, skew 0, vias 1, corner 2, connection 2, corner 3, wire 1, corner 2, connection 2, corner 3, skew 0, dskew 0, connection 1, component 0, connection 3, skew 2, substrate 0, track 0, corner 1, connection 0, corner 0, skew 0, dskew 0, skew 2, track 0, turn 3, connection 1, component 0, connection 3, dskew 1, connection 1, 
component 0, component 0, connection 3, skew 2, substrate 0, turn 3, track 1, skew 1, substrate 0, transition 0, substrate 0, skew 0, track 1, track 1, dskew 0, connection 1, component 0, connection 3, dskew 0, skew 2, turn 0, connection 1, component 0, connection 3, skew 2, skew 0, dskew 0, dskew 0, turn 1, corner 2, connection 2, corner 3, turn 0, connection 1, 
connection 2, connection 2, corner 3, track 0, corner 1, connection 0, corner 0, vias 2, turn 3, dskew 0, track 1, skew 2, turn 3, vias 1, track 0, corner 2, connection 2, corner 3, skew 0, dskew 0, skew 2, corner 2, connection 2, corner 3, transition 2, substrate 0, track 0, skew 0, track 1, track 1, dskew 0, skew 2, substrate 0, corner 2, 
turn 1, skew 0, skew 2, skew 0, connection 1, component 0, connection 3, turn 1, skew 0, turn 1, vias 2, track 0, track 0, substrate 0, skew 0, track 1, turn 1, turn 3, turn 2, track 0, track 0, substrate 0, turn 0, turn 2, wire 1, substrate 0, track 0, vias 3, turn 2, corner 1, connection 0, connection 0, corner 0, turn 3, 
skew 3, turn 2, viad 1, skew 3, connection 1, component 0, connection 3, track 1, turn 2, vias 3, skew 1, vias 0, track 0, skew 3, viad 0, turn 2, corner 1, connection 0, connection 0, connection 0, connection 0, corner 0, vias 3, turn 1, wire 1, skew 3, dskew 1, viad 0, dskew 1, connection 1, component 0, component 0, connection 3, turn 1, 
skew 1, turn 0, turn 1, track 0, corner 2, connection 2, corner 3, skew 3, dskew 1, turn 2, skew 3, track 1, dskew 1, dskew 1, track 1, dskew 1, connection 1, component 0, component 0, component 0, component 0, connection 3, track 1, t 0, bridge 1, dskew 1, dskew 1, track 1, dskew 1, connection 1, component 0, component 0, connection 3, track 1, 
t 0, turn 2, vias 2, transition 2, skew 3, t 2, skew 2, turn 0, t 2, dskew 1, t 2, track 1, t 2, dskew 1, track 1, dskew 1, connection 1, component 0, component 0, component 0, component 0, connection 3, turn 2, skew 0, bridge 1, skew 1, track 0, vias 3, skew 1, corner 2, connection 2, connection 2, corner 3, skew 3, 
dskew 1, skew 1, skew 0, bridge 1, skew 1, corner 1, connection 0, corner 0, skew 3, dskew 1, track 1, skew 2, corner 1, connection 0, corner 0, transition 2, corner 2, connection 2, connection 2, connection 2, connection 2, corner 3, track 0, vias 2, transition 0, substrate 0, turn 0, track 1, track 1, track 1, dskew 1, skew 1, skew 3, dskew 1, 
track 0, substrate 0, substrate 0, transition 0, turn 3, connection 1, component 0, connection 3, dskew 1, dskew 1, turn 2, skew 0, connection 1, component 0, connection 3, bridge 1, track 1, dskew 1, skew 1, turn 0, dskew 1, track 1, skew 1, t 1, dskew 0, skew 2, turn 3, skew 2, turn 3, transition 3, bridge 0, transition 1, dskew 1, t 3, 
skew 0, track 1, vias 1, t 1, dskew 0, connection 1, component 0, connection 3, dskew 1, dskew 1, t 3, turn 3, connection 1, component 0, connection 3, bridge 1, skew 2, track 0, vias 3, skew 2, transition 2, vias 2, corner 1, connection 0, connection 0, connection 0, connection 0, connection 0, connection 0, corner 0, turn 0, turn 2, track 0, track 0, 
